Prefecture,share,sale_r5
愛知県,16.20%,3820.928
愛媛県,5.00%,622.116
茨城県,17.70%,9544.365
岡山県,2.10%,570.064
沖縄県,0.00%,0
岩手県,0.80%,410.762
岐阜県,7.90%,1863.712
宮崎県,3.00%,581.719
宮城県,1.00%,564.968
京都県,1.90%,245.985
熊本県,1.60%,605.003
群馬県,9.90%,1438.551
広島県,0.60%,134.342
香川県,0.80%,104.564
高知県,1.00%,113.268
佐賀県,0.10%,26.086
埼玉県,3.80%,879.072
三重県,4.40%,1072.594
山形県,1.30%,671.46
山口県,0.40%,92.037
山梨県,4.50%,208.348
滋賀県,0.40%,113.425
鹿児島県,0.80%,164.157
秋田県,0.40%,299.287
新潟県,0.80%,672.439
神奈川県,13.00%,293.76
青森県,4.30%,1944.994
静岡県,22.90%,2909.217
石川県,2.40%,448.317
千葉県,3.70%,1515.025
大阪府,5.00%,240.354
大分県,2.00%,430.148
長崎県,3.30%,396.814
長野県,2.00%,600.937
鳥取県,2.60%,339.73
島根県,0.90%,146.596
東京都,67.90%,175.706
徳島県,1.00%,112.772
栃木県,2.20%,1140.169
奈良県,0.50%,39.15
富山県,0.50%,138.082
福井県,2.70%,541.865
福岡県,0.60%,208.294
福島県,2.00%,1095.933
兵庫県,1.00%,383.604
北海道,34.00%,48377.975
和歌山県,2.80%,154.156
