得意先,県,期,我社販売量
(株)イケノベ,茨城県,71期,52.06
(株)イケノベ,茨城県,72期,65.18
(株)イケノベ,茨城県,73期,39
(株)イシカワ,岩手県,73期,4
(株)イシカワ,青森県,71期,13.62
(株)イシカワ,青森県,73期,75.1
(株)えんどう種苗,滋賀県,71期,1.843
(株)えんどう種苗,滋賀県,72期,2.36
(株)えんどう種苗,滋賀県,73期,1.47
(株)カネ八商店,三重県,71期,4.14
(株)カネ八商店,三重県,72期,1.06
(株)カネ八商店,三重県,73期,0.94
(株)サングリーン青嶋,静岡県,71期,44.45
(株)サングリーン青嶋,静岡県,72期,9.935
(株)サングリーン青嶋,静岡県,73期,3.056
(株)ツカダ,北海道,71期,330
(株)ツカダ,北海道,72期,208.56
(株)ツカダ,北海道,73期,152
(株)ニチユ,千葉県,71期,118.5
(株)ニチユ,千葉県,72期,76.35
(株)ニチユ,千葉県,73期,102.02
(株)ﾌﾚｯｼｭｸﾞﾘｰﾝｼﾞｬﾊﾟﾝ,愛知県,71期,4
(株)ﾌﾚｯｼｭｸﾞﾘｰﾝｼﾞｬﾊﾟﾝ,愛知県,72期,4
(株)ﾌﾚｯｼｭｸﾞﾘｰﾝｼﾞｬﾊﾟﾝ,山梨県,71期,0.36
(株)ﾌﾚｯｼｭｸﾞﾘｰﾝｼﾞｬﾊﾟﾝ,山梨県,72期,0.4
(株)ﾌﾚｯｼｭｸﾞﾘｰﾝｼﾞｬﾊﾟﾝ,神奈川県,72期,9
(株)ﾌﾚｯｼｭｸﾞﾘｰﾝｼﾞｬﾊﾟﾝ,静岡県,71期,23.9
(株)ﾌﾚｯｼｭｸﾞﾘｰﾝｼﾞｬﾊﾟﾝ,静岡県,72期,15.12
(株)ﾌﾚｯｼｭｸﾞﾘｰﾝｼﾞｬﾊﾟﾝ,静岡県,73期,6
(株)ﾌﾚｯｼｭｸﾞﾘｰﾝｼﾞｬﾊﾟﾝ,長野県,71期,15
(株)ﾌﾚｯｼｭｸﾞﾘｰﾝｼﾞｬﾊﾟﾝ,長野県,72期,15
(株)ﾔﾏﾄｺｰﾎﾟﾚｰｼｮﾝ,静岡県,71期,108
(株)ﾔﾏﾄｺｰﾎﾟﾚｰｼｮﾝ,静岡県,72期,86.8
(株)ﾔﾏﾄｺｰﾎﾟﾚｰｼｮﾝ,静岡県,73期,38.8
(株)ﾙｰﾄﾚｯｸﾈｯﾄﾜｰｸｽ,宮城県,72期,0.5
(株)ﾙｰﾄﾚｯｸﾈｯﾄﾜｰｸｽ,宮城県,73期,0.25
(株)ﾙｰﾄﾚｯｸﾈｯﾄﾜｰｸｽ,群馬県,72期,0.12
(株)ﾙｰﾄﾚｯｸﾈｯﾄﾜｰｸｽ,神奈川県,73期,0.1
(株)ﾙｰﾄﾚｯｸﾈｯﾄﾜｰｸｽ,大阪府,72期,0.2
(株)ﾙｰﾄﾚｯｸﾈｯﾄﾜｰｸｽ,福岡県,72期,0.25
(株)ヰセキ九州,大分県,71期,7
(株)阿部産業,茨城県,71期,19.8
(株)阿部産業,茨城県,72期,14.8
(株)阿部産業,茨城県,73期,4.5
(株)伊勢屋肥料農材,岐阜県,71期,0.4
(株)伊勢屋肥料農材,岐阜県,72期,0.2
(株)伊勢屋肥料農材,静岡県,71期,141.7
(株)伊勢屋肥料農材,静岡県,72期,105.04
(株)伊勢屋肥料農材,静岡県,73期,19.3
(株)伊藤史恭商店,千葉県,71期,124.403
(株)伊藤史恭商店,千葉県,72期,108.01
(株)伊藤史恭商店,千葉県,73期,91.755
(株)奥隅商店,群馬県,71期,10
(株)奥隅商店,群馬県,72期,10
(株)奥隅商店,埼玉県,71期,24.45
(株)奥隅商店,埼玉県,72期,14
(株)奥隅商店,埼玉県,73期,6.4
(株)河原崎商事菊川,静岡県,71期,29.6
(株)河原崎商事菊川,静岡県,72期,24.8
(株)河原崎商事菊川,静岡県,73期,10.4
(株)関根辨之助商店,埼玉県,71期,66.8
(株)関根辨之助商店,埼玉県,72期,27.9
(株)関根辨之助商店,埼玉県,73期,20.6
(株)関東甲信ｸﾎﾞﾀ,茨城県,71期,0.195
(株)関東甲信ｸﾎﾞﾀ,茨城県,72期,0.18
(株)関東甲信ｸﾎﾞﾀ,埼玉県,71期,0.115
(株)関東甲信ｸﾎﾞﾀ,山梨県,72期,0.03
(株)関東甲信ｸﾎﾞﾀ,千葉県,71期,0.465
(株)関東甲信ｸﾎﾞﾀ,千葉県,72期,0.15
(株)関東甲信ｸﾎﾞﾀ,長野県,72期,0.03
(株)関東甲信ｸﾎﾞﾀ,栃木県,71期,1.08
(株)丸誠,熊本県,71期,20
(株)丸誠,熊本県,72期,16
(株)丸誠,熊本県,73期,8
(株)岩田万右ェ門商店,千葉県,71期,176.496
(株)岩田万右ェ門商店,千葉県,72期,148.646
(株)岩田万右ェ門商店,千葉県,73期,64.461
（株）櫛引商店,青森県,71期,60.5
（株）櫛引商店,青森県,72期,52.5
（株）櫛引商店,青森県,73期,60
(株)向後商店,千葉県,71期,108.87
(株)向後商店,千葉県,72期,106.32
(株)向後商店,千葉県,73期,107.3
(株)三豊,京都府,71期,46.99
(株)三豊,京都府,72期,49.205
(株)三豊,京都府,73期,43.49
(株)山喜商店,長崎県,71期,16.8
(株)山喜商店,長崎県,72期,24
(株)山喜商店,長崎県,73期,5
(株)山口高一商店,神奈川県,71期,1.1
(株)山口高一商店,神奈川県,72期,1
(株)山丁佐原商店,静岡県,71期,178.08
(株)山丁佐原商店,静岡県,72期,122.22
(株)山丁佐原商店,静岡県,73期,59.84
(株)山本松五郎商店,茨城県,71期,9.2
(株)山本松五郎商店,茨城県,72期,14.4
(株)山本松五郎商店,岐阜県,71期,2.2
(株)山本松五郎商店,岐阜県,72期,2
(株)山本松五郎商店,埼玉県,71期,15.4
(株)山本松五郎商店,埼玉県,72期,6.5
(株)山本松五郎商店,山梨県,71期,2.4
(株)山本松五郎商店,山梨県,72期,6.1
(株)山本松五郎商店,神奈川県,71期,40.12
(株)山本松五郎商店,神奈川県,72期,23.1
(株)山本松五郎商店,神奈川県,73期,14.66
(株)山本松五郎商店,静岡県,71期,20.5
(株)山本松五郎商店,静岡県,72期,21.14
(株)山本松五郎商店,静岡県,73期,3
(株)山本松五郎商店,千葉県,71期,18.54
